title,artist,genres,popularity_artist,song_popularity,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
About Damn Time,Lizzo,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",79,84,0.836,0.743,10,-6.305,0,0.0995,0,0.335,0.722,108.966,191822
First Class,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'rap']",91,95,0.905,0.563,8,-6.135,1,0.0254,9.71E-06,0.113,0.324,106.998,173948
Rocking A Cardigan in Atlanta,lil Shordie Scott,[],67,79,0.803,0.64,1,-4.721,1,0.583,0.000331,0.437,0.816,140.073,96826
BABYDOLL (Speed),Ari Abdul,[],60,65,0.552,0.582,11,-5.535,1,0.0813,0.205,0.177,0.538,105.483,156651
Ain't Shit,Doja Cat,"['dance pop', 'pop']",93,82,0.855,0.488,3,-4.601,1,0.506,0,0.347,0.619,124.097,174253
Out of My League,Fitz and The Tantrums,"['la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock']",70,71,0.545,0.968,9,-3.553,0,0.0387,0.00325,0.331,0.527,169.965,209386
Fourth of July,Sufjan Stevens,"['baroque pop', 'chamber pop', 'indie folk', 'singer-songwriter']",74,77,0.435,0.104,6,-22.39,0,0.973,0.33,0.119,0.162,120.484,279316
Rhinestone Eyes,Gorillaz,['alternative hip hop'],82,77,0.676,0.703,8,-5.815,0,0.0869,0.000687,0.0463,0.852,92.761,200173
girls,girl in red,"['bedroom pop', 'bubblegrunge', 'indie pop', 'norwegian indie', 'pop']",80,75,0.515,0.449,5,-14.468,1,0.227,0.0357,0.171,0.792,149.966,198400
MEAN!,Madeline The Person,['gen z singer-songwriter'],57,68,0.56,0.436,7,-8.761,1,0.918,0,0.093,0.402,117.907,143957
"If I Don't Laugh, I'll Cry",Frawley,['alt z'],61,47,0.674,0.595,4,-5.18,1,0.358,0,0.146,0.207,81.045,198010
Birthday Cake,Dylan Conrique,"['alt z', 'social media pop']",69,81,0.436,0.255,3,-8.623,1,0.955,3.28E-05,0.106,0.15,113.265,205280
Line Without a Hook,Ricky Montgomery,"['indie pop', 'la indie', 'pop']",74,79,0.432,0.652,8,-4.969,1,0.262,0,0.258,0.507,190.028,249587
Swim,Chase Atlantic,['pop'],81,82,0.666,0.542,8,-6.429,1,0.27,0,0.0765,0.0771,120.134,228787
Stir Fry,Migos,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",81,73,0.817,0.816,2,-5.402,1,0.00263,0,0.159,0.508,181.982,190288
Stargirl Interlude,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",96,70,0.638,0.474,5,-12.7,0,0.351,0.191,0.105,0.441,179.771,111640
Until I Found You,Stephen Sanchez,['gen z singer-songwriter'],66,76,0.539,0.508,10,-6.05,1,0.727,0,0.174,0.227,101.358,177720
Love in This Club (feat. Young Jeezy),Usher,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'south carolina hip hop', 'urban contemporary']",82,72,0.573,0.712,0,-5.976,1,0.0572,0,0.167,0.346,140.012,259720
Fall in Love with You.,Montell Fish,"['pittsburgh rap', 'pop']",70,76,0.483,0.0394,4,-19.525,1,0.922,0.0125,0.112,0.146,73.984,132000
Lost in the Fire (feat. The Weeknd),Gesaffelstein,"['dark clubbing', 'destroy techno']",72,82,0.658,0.671,2,-12.21,1,0.0933,0.000927,0.115,0.166,100.966,202093
this is what heartbreak feels like,JVKE,['modern indie pop'],74,71,0.707,0.478,1,-4.602,1,0.581,0,0.112,0.571,109.986,157636
Primadonna,MARINA,"['dance pop', 'electropop', 'metropopolis', 'pop', 'uk alternative pop']",78,76,0.66,0.689,4,-2.671,0,0.0884,0,0.0922,0.427,127.98,221075
Material Girl,Madonna,"['dance pop', 'pop']",81,76,0.742,0.883,0,-3.419,1,0.333,7.51E-06,0.0964,0.978,136.506,240280
Where you are (feat. WILLOW),PinkPantheress,['russian plugg'],75,73,0.689,0.872,0,-4.786,1,0.0965,0.000498,0.117,0.362,134.994,153706
Thinking with My Dick (feat. Juicy J),Kevin Gates,"['baton rouge rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",79,78,0.77,0.699,0,-6.59,1,0.0596,1.65E-05,0.17,0.696,81.003,165315
No Role Modelz,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",89,85,0.69,0.521,10,-8.492,0,0.324,0,0.0534,0.494,100.028,292799
PROVENZA,KAROL G,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",90,87,0.87,0.516,1,-8.006,1,0.656,0.00823,0.11,0.53,111.005,210200
As It Was,Harry Styles,['pop'],93,100,0.52,0.731,6,-5.338,0,0.342,0.00101,0.311,0.662,173.93,167303
Shake Back,Kodak Black,"['florida rap', 'melodic rap', 'miami hip hop', 'rap', 'trap']",85,57,0.628,0.902,1,-4.855,1,0.00246,0,0.0955,0.606,170.01,183562
She,"Tyler, The Creator","['hip hop', 'rap']",89,66,0.35,0.621,8,-6.495,0,0.256,3.44E-05,0.613,0.459,83.375,253387
Angel Baby - Slowed,Troye Sivan,"['australian pop', 'dance pop', 'electropop', 'pop', 'viral pop']",81,42,0.597,0.498,8,-9.169,1,0.0865,0,0.119,0.254,121.755,262624
Say It Right - Sped Up Remix,Nelly Furtado,"['canadian latin', 'canadian pop', 'dance pop', 'pop', 'pop rap']",78,65,0.849,0.941,8,-6.448,1,0.0269,0.00717,0.0596,0.765,134.479,194160
You Get Me So High,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop']",87,80,0.551,0.881,7,-6.099,0,0.186,0.0791,0.152,0.387,88.036,153000
Thousand Miles,The Kid LAROI,['australian hip hop'],88,85,0.376,0.657,7,-4.658,1,0.0858,0,0.0884,0.203,80.565,164782
Plan B,Megan Thee Stallion,"['dance pop', 'houston rap', 'pop', 'trap queen']",85,75,0.787,0.522,8,-5.872,1,0.0668,0,0.108,0.666,170.439,163765
Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,"['dance pop', 'pop']",78,77,0.601,0.794,7,-5.844,0,0.00987,1.36E-06,0.388,0.244,114.066,217467
Pizzazz,Akintoye,[],56,64,0.443,0.749,10,-6.354,1,0.0144,0,0.206,0.26,89.908,191489
ZOOM,Jessi,['k-pop'],72,80,0.874,0.6,6,-6.064,1,0.00942,0,0.126,0.457,100.012,174840
Cool for the Summer - Sped Up (Nightcore),Demi Lovato,"['dance pop', 'pop', 'post-teen pop']",84,70,0.561,0.599,2,-8.209,0,0.00751,0.000701,0.316,0.264,125.874,191913
Him,Big Yavo,['alabama rap'],59,55,0.856,0.562,2,-6.42,1,0.18,0,0.0669,0.675,130.007,151000
POLTERGEIST!,CORPSE,"['dream smp', 'viral rap']",74,74,0.766,0.658,1,-7.014,1,0.00192,0,0.0919,0.476,133.085,101053
j's lullaby (darlin' i'd wait for you),Delaney Bailey,"['gen z singer-songwriter', 'indie pop']",59,69,0.54,0.11,8,-19.885,1,0.498,0.000614,0.0781,0.172,76.068,290132
Around the World,Daft Punk,"['electro', 'filter house']",83,74,0.956,0.795,7,-5.311,1,0.00356,0.889,0.0906,0.841,121.294,429533
Late,Cayo,['pluggnb'],55,66,0.64,0.422,11,-10.438,1,0.0576,6.43E-05,0.0697,0.599,145.109,108617
Demons - Massane Remix,Jerro,['tropical house'],57,64,0.66,0.497,2,-9.892,0,0.487,0.0358,0.0884,0.131,121.959,243177
"Shake It (feat. Cardi B, Dougie B & Bory300)",Kay Flock,"['bronx drill', 'new york drill']",71,75,0.87,0.835,1,-5.875,1,0.0353,0,0.142,0.901,140.051,118249
Monëy so big,Yeat,['pluggnb'],85,83,0.693,0.575,2,-7.633,1,0.121,0,0.104,0.353,138.016,160052
Bad Hoe,Tom The Mail Man,"['aesthetic rap', 'emo rap', 'modern indie pop', 'sad rap', 'vapor trap']",61,55,0.806,0.735,4,-4.39,1,0.087,0,0.0885,0.398,128.019,207250
Boogie Woogie Wu,Insane Clown Posse,[],69,68,0.729,0.703,7,-6.671,1,0.00356,2.06E-06,0.38,0.357,88.038,264333
Flowers,Lauren Spencer-Smith,"['alt z', 'gen z singer-songwriter', 'pop']",77,82,0.684,0.449,3,-9.738,1,0.869,0,0.0881,0.341,66.165,157373
I Wanna Be Yours,Arctic Monkeys,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",87,55,0.464,0.417,0,-9.345,0,0.136,0.022,0.0974,0.479,67.528,183956
Just a Cloud Away,Pharrell Williams,"['hip hop', 'pop', 'pop rap']",85,77,0.888,0.459,2,-8.154,1,0.426,0,0.11,0.704,112.56,176078
DIVE IN!,JELEEL!,['rhode island rap'],66,70,0.705,0.753,6,-5.28,1,0.000944,0.000127,0.385,0.368,140.023,100518
sun and moon,anees,[],69,79,0.815,0.442,6,-7.462,0,0.457,0,0.101,0.706,90.019,151508
Skeletons (Lexi Needed a Break),Labrinth,"['indie poptimism', 'pop']",86,67,0.746,0.285,4,-8.641,1,0.249,0.0104,0.106,0.277,139.022,142848
Wait a Minute!,WILLOW,"['afrofuturism', 'dance pop', 'electropop', 'pop', 'post-teen pop']",83,87,0.764,0.705,3,-5.279,0,0.0371,1.94E-05,0.0943,0.672,101.003,196520
Congratulations (feat. Bilal),Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",87,73,0.465,0.225,4,-12.637,0,0.948,0.00155,0.18,0.207,57.75,256427
10 Things I Hate About You,Leah Kate,"['alt z', 'pop']",71,67,0.544,0.786,8,-2.97,1,0.00991,0,0.169,0.446,153.967,157138
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Basement Boy Strip To The Bone Mix,Crystal Waters,"['disco house', 'diva house', 'hip house', 'vocal house']",65,64,0.484,0.641,5,-12.612,1,0.000779,0.278,0.0738,0.181,119.981,451827
Glad U Came (feat. ZieZie),Liilz,[],65,77,0.75,0.531,2,-8.988,0,0.374,0,0.107,0.663,139.997,125143
Tom's Diner,AnnenMayKantereit,"['cologne indie', 'german singer-songwriter']",75,84,0.68,0.428,6,-8.107,0,0.376,0.000344,0.355,0.334,98.222,269333
Sunroof,Nicky Youre,[],70,79,0.768,0.716,10,-5.11,1,0.35,0,0.15,0.841,131.43,163026
Care,midwxst,"['glitchcore', 'hyperpop', 'proto-hyperpop', 'vapor trap']",66,64,0.541,0.817,2,-4.182,1,0.124,0,0.0975,0.467,184.894,85095
Glamorous,Fergie,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",74,64,0.811,0.757,0,-6.447,1,0.298,0,0.103,0.565,130.993,246600
Yo Voy (feat. Daddy Yankee),Zion & Lennox,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",83,85,0.808,0.697,10,-5.899,1,0.041,0,0.0546,0.554,95.06,232020
Home,Matthew Hall,[],42,55,0.53,0.342,2,-9.736,1,0.912,0.0125,0.199,0.27,81.064,263871
Stand by Me,Ben E. King,"['adult standards', 'brill building pop', 'rock-and-roll', 'soul']",68,78,0.65,0.306,9,-9.443,1,0.57,7.07E-06,0.0707,0.605,118.068,180056
Something In The Way,Nirvana,"['grunge', 'permanent wave', 'rock']",85,80,0.427,0.201,8,-13.044,1,0.745,0.263,0.109,0.0668,105.218,232147
Alien Blues,Vundabar,"['boston indie', 'indie garage rock']",70,35,0.464,0.682,10,-8.541,1,0.0768,0.832,0.0856,0.455,80.062,156057
No Lie,Sean Paul,"['dance pop', 'dancehall', 'pop', 'pop rap']",84,83,0.742,0.882,7,-2.862,1,0.0466,0,0.206,0.463,102.04,221176
Cigarettes out the Window,TV Girl,['indie pop'],75,75,0.625,0.659,0,-5.669,1,0.12,0,0.17,0.594,113.551,198961
Neon Guts (feat. Pharrell Williams),Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']",89,76,0.859,0.563,1,-6.635,0,0.0541,0,0.0685,0.412,119.934,258789
Love Me Back (Fayahh Beat),Trinidad Cardona,[],68,75,0.602,0.612,8,-8.115,1,0.0325,0.00943,0.147,0.692,95.161,193627
First Class,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'rap']",92,95,0.905,0.563,8,-6.135,1,0.0254,9.71E-06,0.113,0.324,106.998,173948
As It Was,Harry Styles,['pop'],94,100,0.52,0.731,6,-5.338,0,0.342,0.00101,0.311,0.662,173.93,167303
About Damn Time,Lizzo,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",80,83,0.836,0.743,10,-6.305,0,0.0995,0,0.335,0.722,108.966,191822
Ghost,Justin Bieber,"['canadian pop', 'pop']",97,83,0.604,0.741,2,-5.571,1,0.178,3.49E-05,0.409,0.473,153.947,153190
Bam Bam (feat. Ed Sheeran),Camila Cabello,"['dance pop', 'pop', 'post-teen pop']",89,90,0.756,0.697,8,-6.377,1,0.182,0,0.333,0.956,94.996,206071
MIDDLE OF THE NIGHT,Elley Duhé,"['alt z', 'pop']",81,91,0.41,0.611,4,-8.271,0,0.0228,0,0.116,0.0899,185.727,184448
THATS WHAT I WANT,Lil Nas X,"['lgbtq+ hip hop', 'pop']",89,90,0.737,0.846,1,-4.51,0,0.00614,0,0.0486,0.546,87.981,143901
WAIT FOR U (feat. Drake & Tems),Future,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",94,82,0.463,0.642,1,-4.474,1,0.314,0,0.0686,0.339,83.389,189893
Heat Waves,Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']",87,85,0.761,0.525,11,-6.9,1,0.44,6.70E-06,0.0921,0.531,80.87,238805
Thousand Miles,The Kid LAROI,['australian hip hop'],89,85,0.376,0.657,7,-4.658,1,0.0858,0,0.0884,0.203,80.565,164782
Woman,Doja Cat,"['dance pop', 'pop']",94,90,0.824,0.764,5,-4.175,0,0.0888,0.00294,0.117,0.881,107.998,172627
PROVENZA,KAROL G,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",91,86,0.87,0.516,1,-8.006,1,0.656,0.00823,0.11,0.53,111.005,210200
Where Are You Now,Lost Frequencies,"['belgian edm', 'edm', 'pop', 'pop dance', 'tropical house']",82,90,0.671,0.636,6,-8.117,0,0.515,0.000411,0.172,0.262,120.966,148197
Cold Heart - PNAU Remix,Elton John,"['glam rock', 'mellow gold', 'piano rock']",88,89,0.796,0.798,1,-6.312,1,0.034,4.19E-05,0.0952,0.942,116.032,202735
STAY (with Justin Bieber),The Kid LAROI,['australian hip hop'],89,89,0.591,0.764,1,-5.484,1,0.0383,0,0.103,0.478,169.928,141806
Light Switch,Charlie Puth,"['dance pop', 'pop', 'viral pop']",86,86,0.69,0.626,6,-5.693,1,0.105,0.000335,0.0881,0.912,184.009,185681
Shivers,Ed Sheeran,"['pop', 'uk pop']",96,10,0.788,0.859,2,-2.724,1,0.281,0,0.0424,0.822,141.02,207853
Boyfriend,Dove Cameron,"['pop', 'post-teen pop']",80,89,0.345,0.612,7,-6.543,0,0.232,0,0.194,0.232,179.773,153000
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,"['modern rock', 'rock']",93,90,0.728,0.783,11,-4.424,0,0.237,0,0.434,0.555,77.011,173381
Honest (feat. Don Toliver),Justin Bieber,"['canadian pop', 'pop']",97,80,0.81,0.655,8,-6.779,0,0.127,8.16E-05,0.105,0.809,150.002,193322
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,"['lgbtq+ hip hop', 'pop']",89,88,0.736,0.704,3,-7.409,0,0.0203,0,0.0501,0.894,149.995,212000
The Motto,Tiësto,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']",88,89,0.754,0.763,7,-4.627,0,0.0301,2.23E-05,0.0901,0.464,117.953,164819
she's all i wanna be,Tate McRae,['pop'],85,86,0.614,0.644,2,-5.372,0,0.0134,7.07E-06,0.117,0.651,160.036,206772
MAMIII,Becky G,"['dance pop', 'latin', 'latin viral pop', 'pop', 'rap latina', 'reggaeton']",86,91,0.843,0.7,4,-3.563,0,0.0934,0,0.14,0.899,93.991,226088
In My Head,Lil Tjay,"['brooklyn drill', 'melodic rap', 'nyc rap']",87,85,0.684,0.545,1,-6.885,1,0.159,0,0.102,0.407,143.049,135264
When You're Gone,Shawn Mendes,"['canadian pop', 'dance pop', 'pop', 'viral pop']",90,86,0.603,0.691,5,-5.805,1,0.0248,0,0.583,0.577,147.148,172267
abcdefu,GAYLE,['modern alternative pop'],82,91,0.695,0.54,4,-5.692,1,0.299,0,0.367,0.415,121.932,168602
One Right Now (with The Weeknd),Post Malone,"['dfw rap', 'melodic rap', 'rap']",91,85,0.687,0.781,1,-4.806,1,0.0361,0,0.0755,0.688,97.014,193507
love nwantiti (ah ah ah),CKay,['afro r&b'],81,85,0.727,0.739,8,-3.805,1,0.365,0.00137,0.161,0.533,93.005,145800
Easy On Me,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",90,87,0.604,0.366,5,-7.519,1,0.578,0,0.133,0.13,141.981,224695
In The Stars,Benson Boone,[],74,79,0.362,0.54,10,-6.031,1,0.338,0,0.139,0.3,78.007,216410
Sweetest Pie,Megan Thee Stallion,"['dance pop', 'houston rap', 'pop', 'trap queen']",87,85,0.814,0.628,7,-7.178,1,0.167,0,0.101,0.677,123.977,201334
Bones,Imagine Dragons,"['modern rock', 'rock']",93,86,0.773,0.742,5,-3.678,0,0.0206,0,0.0754,0.571,114.071,165265
Infinity,Jaymes Young,"['modern rock', 'pop']",80,88,0.671,0.673,11,-6.941,0,0.148,5.29E-05,0.304,0.494,121.963,237720
Envolver,Anitta,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']",87,90,0.812,0.736,4,-5.421,0,0.152,0.00254,0.0914,0.396,91.993,193806
Big Energy,Latto,"['pop', 'r&b', 'trap queen']",77,61,0.937,0.793,11,-4.431,0,0.0453,0,0.341,0.794,106.022,172540
Bad Habits,Ed Sheeran,"['pop', 'uk pop']",96,35,0.808,0.897,11,-3.712,0,0.0469,3.14E-05,0.364,0.591,126.026,231041
Need to Know,Doja Cat,"['dance pop', 'pop']",94,87,0.664,0.609,1,-6.509,1,0.304,0,0.0926,0.194,130.041,210560
10 Things I Hate About You,Leah Kate,"['alt z', 'pop']",73,67,0.544,0.786,8,-2.97,1,0.00991,0,0.169,0.446,153.967,157138
good 4 u,Olivia Rodrigo,['pop'],91,29,0.556,0.661,6,-5.052,0,0.3,0,0.101,0.668,168.56,178148
Happier Than Ever - Edit,Billie Eilish,"['art pop', 'electropop', 'pop']",93,83,0.334,0.599,0,-5.742,1,0.0468,0.000392,0.205,0.127,161.74,151444
My Universe,Coldplay,"['permanent wave', 'pop']",92,85,0.588,0.701,9,-6.39,1,0.00813,0,0.2,0.443,104.988,228000
Pepas,Farruko,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",90,87,0.762,0.766,7,-3.955,1,0.00776,6.98E-05,0.128,0.442,130.001,287120
IDGAF (with blackbear),BoyWithUke,[],83,83,0.783,0.75,5,-5.762,1,0.426,0,0.241,0.88,97.953,140665
Flowers,Lauren Spencer-Smith,"['alt z', 'gen z singer-songwriter', 'pop']",78,82,0.684,0.449,3,-9.738,1,0.869,0,0.0881,0.341,66.165,157373
Go,Cat Burns,[],73,80,0.663,0.251,6,-9.87,0,0.88,0,0.0932,0.528,90.272,215000
Desesperados,Rauw Alejandro,"['puerto rican pop', 'trap latino']",93,85,0.869,0.694,1,-3.35,0,0.356,0.00125,0.0878,0.511,90.02,224997
Oh My God,Adele,"['british soul', 'pop', 'pop soul', 'uk pop']",90,85,0.534,0.725,1,-3.906,1,0.091,0,0.0264,0.55,88.098,225149
